Room Number,Appliance Type,Status,Last Maintenance Date,Usage Hours,Days Since Maintenance,Average_Daily_Usage,Device_Year,Warranty Year
2025,Television,Working,7/20/2024,2262,332,6,2016,2018
2025,Air Conditioner,Leaking,5/12/2024,2493,400,7,2022,2024
2025,Heater,Working,9/19/2023,3119,637,5,2021,2024
2025,Hair Dryer,Working,7/6/2024,2029,345,6,2022,2025
2026,Television,Not Working,5/18/2025,4029,29,23,2017,2022
2026,Hair Dryer,Noisy,1/3/2024,2090,530,4,2020,2023
2026,Heater,Working,4/27/2024,1735,416,4,2022,2027
2026,Coffee Maker,Leaking,12/12/2024,1708,186,8,2015,2017
2026,Lamp,Working,4/30/2023,675,778,1,2024,2026
2026,Mini Fridge,Working,7/24/2023,3187,694,5,2024,2026
2026,Air Conditioner,Overheating,1/5/2024,2768,529,6,2022,2024
2027,Television,Working,2/8/2023,4524,860,5,2016,2019
2027,Air Conditioner,Working,4/27/2025,3728,50,24,2016,2018
2027,Mini Fridge,Unresponsive,12/28/2023,1572,537,4,2018,2020
2027,Hair Dryer,Working,5/4/2024,3204,409,7,2018,2021
2027,Coffee Maker,Not Working,10/2/2024,697,258,3,2018,2023
2027,Lamp,Working,1/30/2024,2274,504,4,2016,2019
2027,Heater,Working,2/28/2025,1014,108,12,2016,2019
2028,Mini Fridge,Flickering,2/5/2023,4902,863,5,2017,2021
2028,Coffee Maker,Unresponsive,7/26/2024,13374,325,24,2016,2018
2028,Air Conditioner,Working,5/9/2023,3124,770,4,2018,2021
2028,Television,Working,12/14/2024,2742,185,16,2023,2028
2028,Heater,Leaking,4/28/2024,2486,415,6,2018,2021
2028,Hair Dryer,Working,2/27/2025,2831,109,23,2019,2022
2028,Lamp,Working,1/27/2024,3243,506,6,2015,2017
2029,Air Conditioner,Leaking,11/16/2023,1063,579,2,2019,2024
2029,Heater,Working,3/31/2023,1702,808,2,2019,2022
2029,Hair Dryer,Working,4/19/2025,4606,59,24,2014,2017
2029,Television,Low performance,6/8/2024,3303,373,8,2022,2024
2029,Mini Fridge,Working,2/4/2024,1506,498,2,2016,2019
2029,Coffee Maker,Working,7/28/2023,2134,689,3,2019,2022
2029,Lamp,Flickering,1/12/2024,1842,522,4,2022,2025
2030,Heater,Working,4/24/2024,3872,418,9,2017,2020
2030,Hair Dryer,Working,3/3/2023,3583,836,4,2022,2027
2030,Coffee Maker,Not Working,5/20/2025,913,27,24,2014,2019
2030,Television,Working,5/30/2025,792,17,24,2017,2019
2030,Air Conditioner,Working,10/28/2024,738,232,3,2020,2023
2030,Lamp,Low performance,6/25/2024,2042,357,5,2018,2022
2030,Mini Fridge,Working,5/3/2023,4002,775,5,2024,2028
2031,Heater,Working,5/5/2025,2740,42,24,2023,2025
2031,Television,Noisy,9/11/2023,3184,644,5,2024,2026
2031,Mini Fridge,Noisy,8/31/2023,5014,655,8,2021,2024
2031,Coffee Maker,Low performance,7/10/2024,663,342,2,2023,2027
2031,Air Conditioner,Working,11/24/2023,2229,571,4,2014,2019
2031,Lamp,Working,4/25/2024,2783,417,7,2021,2024
2031,Hair Dryer,Unresponsive,9/7/2024,3009,282,12,2023,2025
2032,Air Conditioner,Working,9/11/2024,3179,278,11,2019,2021
2032,Mini Fridge,Working,1/15/2023,4937,883,6,2014,2016
2032,Coffee Maker,Flickering,9/4/2024,3917,285,15,2014,2016
2032,Lamp,Working,10/13/2023,3495,612,6,2024,2029
2032,Hair Dryer,Working,8/22/2024,2806,299,10,2018,2021
2032,Heater,Working,2/9/2023,1312,858,2,2018,2021
2032,Television,Flickering,1/4/2023,906,894,2,2023,2026
2033,Coffee Maker,Working,4/8/2023,3037,800,4,2018,2021
2033,Lamp,Working,2/24/2025,618,112,4,2022,2025
2033,Television,Flickering,9/28/2024,1521,262,6,2016,2018
2033,Mini Fridge,Working,7/20/2024,813,332,3,2018,2020
2033,Heater,Low performance,2/21/2025,951,115,8,2023,2027
2033,Hair Dryer,Working,11/21/2023,1096,574,2,2015,2017
2033,Air Conditioner,Working,10/26/2024,1064,233,5,2019,2024
2034,Hair Dryer,Flickering,7/2/2023,2273,716,3,2022,2024
2034,Coffee Maker,Working,9/24/2024,3427,266,14,2021,2023
2034,Television,Working,12/18/2023,1305,547,3,2024,2029
2034,Air Conditioner,Unresponsive,4/9/2023,2132,799,2,2022,2024
2034,Mini Fridge,Working,9/3/2023,4880,652,7,2017,2021
2034,Lamp,Unresponsive,4/1/2025,1668,76,24,2020,2025
2034,Heater,Working,4/12/2023,1564,796,2,2020,2022
2035,Coffee Maker,Working,1/5/2023,903,894,1,2022,2026
2035,Lamp,Overheating,11/26/2023,1464,569,2,2017,2021
2035,Television,Noisy,11/6/2023,2144,589,3,2020,2022
2035,Hair Dryer,Working,6/5/2023,2647,743,3,2022,2025
2035,Heater,Working,10/14/2024,2029,245,9,2018,2023
2035,Mini Fridge,Working,9/21/2024,977,269,3,2019,2022
2035,Air Conditioner,Low performance,11/5/2024,2958,223,15,2019,2023
2036,Air Conditioner,Overheating,10/10/2024,2606,249,10,2018,2020
2036,Coffee Maker,Working,4/9/2024,3255,434,8,2014,2019
2036,Heater,Working,3/26/2024,2918,448,7,2021,2025
2036,Hair Dryer,Not Working,7/4/2024,1940,348,6,2023,2027
2036,Lamp,Working,11/7/2024,2748,221,13,2024,2027
2036,Television,Working,2/23/2025,2851,114,23,2024,2029
2036,Mini Fridge,Flickering,6/19/2024,937,362,2,2020,2022
2037,Television,Working,4/11/2025,2501,67,23,2014,2017
2037,Lamp,Working,1/4/2025,3947,163,23,2023,2025
2037,Hair Dryer,Overheating,9/12/2023,3479,644,5,2021,2025
2037,Heater,Leaking,7/9/2024,2912,342,9,2020,2024
2037,Mini Fridge,Working,11/4/2024,2700,225,12,2019,2023
2037,Air Conditioner,Working,10/7/2024,4698,253,17,2022,2025
2037,Coffee Maker,Noisy,1/23/2024,3196,511,6,2017,2021
2038,Heater,Working,12/31/2024,3841,167,24,2024,2027
2038,Lamp,Not Working,3/6/2024,2053,468,5,2014,2016
2038,Television,Working,3/4/2024,1120,470,2,2019,2023
2038,Mini Fridge,Low performance,2/27/2025,4445,110,24,2017,2021
2038,Coffee Maker,Overheating,12/26/2024,633,172,3,2018,2020
2038,Hair Dryer,Working,2/8/2025,1418,128,11,2018,2023
2038,Air Conditioner,Working,1/24/2025,3843,143,24,2017,2022
2039,Air Conditioner,Not Working,7/16/2023,1076,702,1,2023,2026
2039,Coffee Maker,Working,1/20/2025,479,147,3,2023,2027
2039,Hair Dryer,Working,11/5/2023,4971,590,8,2019,2021
2039,Heater,Low performance,1/19/2023,3308,879,3,2022,2026
2039,Television,Unresponsive,4/21/2024,3514,422,8,2017,2022
2039,Mini Fridge,Overheating,5/14/2024,2549,399,7,2024,2029
2039,Lamp,Working,2/4/2024,3185,499,6,2017,2020
2040,Coffee Maker,Noisy,10/3/2024,4718,256,20,2017,2019
2040,Lamp,Working,10/30/2023,3302,596,5,2023,2027
2040,Heater,Working,4/11/2023,2614,797,3,2021,2023
2040,Television,Low performance,5/19/2023,1925,759,3,2017,2020
2040,Air Conditioner,Working,2/12/2025,3253,124,24,2016,2019
2040,Hair Dryer,Working,7/3/2024,1340,349,4,2018,2021
2040,Mini Fridge,Unresponsive,5/30/2024,1975,383,5,2016,2020
2041,Lamp,Working,12/27/2024,3972,171,23,2017,2020
2041,Hair Dryer,Working,2/24/2024,4159,478,8,2020,2025
2041,Mini Fridge,Unresponsive,3/3/2025,1189,105,12,2021,2024
2041,Television,Low performance,4/22/2024,1552,420,4,2016,2018
2041,Coffee Maker,Working,3/28/2024,1409,446,3,2024,2027
2041,Air Conditioner,Working,3/13/2024,857,460,1,2018,2023
2041,Heater,Noisy,5/10/2025,2015,38,24,2014,2019
2042,Television,Working,3/26/2025,891,83,7,2015,2018
2042,Mini Fridge,Working,3/26/2023,2885,813,4,2017,2021
2042,Air Conditioner,Low performance,7/5/2024,2575,346,7,2021,2024
2042,Hair Dryer,Working,5/29/2023,3951,750,5,2021,2024
2042,Coffee Maker,Working,5/8/2023,960,770,1,2021,2023
2042,Lamp,Leaking,5/3/2023,1750,776,3,2017,2020
2042,Heater,Working,4/26/2023,3573,782,5,2017,2020
2043,Hair Dryer,Working,8/13/2024,1018,307,3,2022,2025
2043,Coffee Maker,Flickering,2/26/2023,4843,841,5,2019,2022
2043,Air Conditioner,Not Working,8/12/2023,2093,675,3,2024,2026
2043,Television,Working,8/5/2024,1710,315,5,2016,2020
2043,Lamp,Working,1/23/2023,2073,875,3,2022,2025
2043,Heater,Working,6/21/2024,2851,360,8,2021,2024
2043,Mini Fridge,Low performance,1/2/2023,4585,897,4,2024,2026
2044,Coffee Maker,Working,10/30/2023,817,595,1,2018,2022
2044,Air Conditioner,Leaking,6/29/2023,379,718,1,2016,2019
2044,Hair Dryer,Working,10/5/2023,1210,620,2,2018,2023
2044,Lamp,Working,6/19/2024,1397,362,4,2023,2026
2044,Mini Fridge,Noisy,6/6/2024,2407,376,6,2021,2026
2044,Heater,Noisy,2/23/2025,1715,114,14,2023,2026
2044,Television,Working,6/24/2023,2009,723,3,2017,2019
2045,Mini Fridge,Working,4/23/2023,717,786,1,2015,2019
2045,Lamp,Noisy,6/7/2023,3311,740,4,2024,2026
2045,Air Conditioner,Working,2/28/2025,2666,109,23,2021,2026
2045,Heater,Working,4/4/2025,3252,73,24,2019,2023
2045,Television,Working,2/13/2023,3035,855,4,2017,2022
2045,Coffee Maker,Overheating,5/17/2023,841,761,2,2024,2028
2045,Hair Dryer,Working,9/10/2024,4177,280,16,2018,2021
2046,Mini Fridge,Working,11/8/2023,4944,587,8,2016,2021
2046,Television,Noisy,4/21/2024,4369,421,11,2021,2023
2046,Coffee Maker,Working,11/8/2024,4670,220,24,2014,2016
2046,Heater,Unresponsive,8/10/2023,2059,676,3,2021,2023
2046,Lamp,Working,5/1/2024,1950,411,4,2017,2021
2046,Air Conditioner,Working,3/9/2023,2799,831,3,2014,2017
2046,Hair Dryer,Flickering,8/17/2023,1012,670,1,2018,2022
2047,Air Conditioner,Working,11/10/2024,3685,218,15,2016,2018
2047,Coffee Maker,Not Working,8/18/2024,2117,303,8,2022,2026
2047,Lamp,Leaking,3/23/2023,2843,817,3,2023,2028
2047,Heater,Working,3/14/2024,1939,459,4,2019,2021
2047,Hair Dryer,Working,12/2/2024,1581,196,7,2024,2026
2047,Television,Low performance,9/11/2024,1956,278,7,2018,2021
2047,Mini Fridge,Flickering,6/3/2025,2639,13,24,2014,2018
2048,Air Conditioner,Working,3/13/2025,3292,95,23,2014,2017
2048,Lamp,Overheating,4/1/2023,2918,808,3,2017,2020
2048,Mini Fridge,Working,7/11/2024,2747,340,8,2019,2023
2048,Coffee Maker,Working,3/16/2025,4110,92,24,2022,2027
2048,Television,Working,6/5/2023,2069,743,3,2019,2023
2048,Hair Dryer,Overheating,11/8/2023,1755,587,3,2023,2026
2048,Heater,Noisy,11/20/2024,991,208,6,2015,2019
2049,Lamp,Working,1/30/2024,4139,504,8,2014,2016
2049,Heater,Working,4/23/2025,3515,54,24,2015,2018
2049,Television,Leaking,10/24/2023,1684,602,3,2024,2029
2049,Coffee Maker,Working,9/17/2023,3887,638,5,2017,2019
2049,Mini Fridge,Working,10/26/2023,2782,599,5,2015,2018
2049,Air Conditioner,Noisy,8/28/2024,4941,293,17,2014,2016
2049,Hair Dryer,Working,12/5/2023,2186,560,4,2015,2019
2050,Television,Working,1/23/2024,636,510,2,2018,2020
2050,Heater,Working,12/23/2023,1627,542,2,2016,2021
2050,Air Conditioner,Not Working,8/27/2024,2993,293,10,2015,2018
2050,Mini Fridge,Overheating,5/8/2024,1699,405,4,2017,2020
2050,Coffee Maker,Working,6/28/2023,1343,719,2,2021,2023
2050,Hair Dryer,Working,3/1/2025,797,107,9,2023,2028
2050,Lamp,Not Working,11/16/2023,1616,578,3,2022,2025
2051,Hair Dryer,Working,4/2/2025,2027,76,24,2014,2016
2051,Lamp,Working,5/4/2024,4083,409,10,2021,2026
2051,Mini Fridge,Flickering,12/5/2024,4844,193,24,2016,2020
2051,Television,Not Working,5/14/2023,685,764,1,2023,2025
2051,Coffee Maker,Unresponsive,8/30/2023,1146,657,2,2021,2024
2051,Air Conditioner,Working,3/12/2025,863,97,11,2018,2021
2051,Heater,Low performance,3/4/2025,379,105,6,2018,2020
2052,Heater,Working,1/26/2025,1909,141,11,2024,2026
2052,Television,Working,2/28/2025,862,109,8,2020,2023
2052,Air Conditioner,Overheating,5/27/2024,3387,385,10,2020,2025
2052,Hair Dryer,Leaking,2/4/2023,1398,864,2,2014,2016
2052,Lamp,Working,2/4/2025,2127,132,18,2023,2028
2052,Mini Fridge,Working,4/22/2025,2787,56,24,2014,2017
2052,Coffee Maker,Unresponsive,6/26/2023,2874,722,4,2018,2020
2053,Heater,Working,8/31/2023,4771,656,7,2018,2022
2053,Lamp,Working,10/16/2023,4479,609,8,2024,2027
2053,Mini Fridge,Leaking,3/13/2023,1476,826,2,2014,2018
2053,Television,Working,8/3/2023,2708,683,4,2020,2025
2053,Hair Dryer,Working,7/12/2024,1157,339,3,2018,2020
2053,Air Conditioner,Flickering,9/24/2024,2993,265,11,2021,2026
2053,Coffee Maker,Not Working,1/15/2023,3590,884,4,2019,2022
2054,Lamp,Working,4/12/2025,2792,66,24,2021,2024
2054,Hair Dryer,Working,2/7/2023,1011,860,1,2014,2019
2054,Television,Working,4/29/2024,3887,414,9,2019,2024
2054,Heater,Not Working,1/7/2024,693,527,1,2022,2026
2054,Mini Fridge,Leaking,8/13/2024,4562,307,15,2017,2019
2054,Coffee Maker,Working,1/28/2023,4792,871,5,2019,2024
2054,Air Conditioner,Working,1/27/2025,660,141,6,2019,2021
2055,Television,Flickering,4/20/2024,637,423,2,2023,2028
2055,Coffee Maker,Working,1/31/2023,1402,868,2,2020,2025
2055,Heater,Flickering,7/8/2024,1310,343,4,2015,2017
2055,Air Conditioner,Working,8/30/2023,2334,657,4,2017,2021
2055,Hair Dryer,Working,3/3/2025,4131,105,23,2017,2020
2055,Lamp,Working,3/18/2025,4522,91,23,2017,2019
2055,Mini Fridge,Not Working,1/22/2025,3658,146,24,2015,2017
2056,Mini Fridge,Working,8/22/2024,543,298,1,2018,2021
2056,Air Conditioner,Not Working,1/2/2023,965,897,1,2015,2017
2056,Coffee Maker,Working,6/11/2024,2852,371,7,2018,2023
2056,Lamp,Working,11/22/2023,866,573,1,2020,2023
2056,Television,Not Working,5/17/2024,1166,395,3,2018,2020
2056,Hair Dryer,Not Working,12/27/2024,1228,172,7,2016,2019
2057,Hair Dryer,Working,11/2/2023,2760,593,4,2014,2018
2057,Coffee Maker,Working,2/3/2024,952,499,2,2015,2018
2057,Mini Fridge,Not Working,10/10/2024,4741,250,18,2020,2022
2057,Air Conditioner,Leaking,12/21/2023,1928,543,4,2015,2017
2057,Heater,Working,3/14/2025,4341,94,24,2024,2026
2057,Television,Working,4/13/2023,1944,796,2,2022,2027
2057,Lamp,Leaking,2/8/2025,3445,128,23,2024,2027
2058,Heater,Working,5/30/2023,1996,748,2,2024,2027
2058,Television,Working,5/5/2024,2972,407,9,2015,2017
2058,Air Conditioner,Working,11/7/2023,4019,588,7,2016,2020
2058,Coffee Maker,Unresponsive,8/17/2024,4990,303,18,2015,2017
2058,Mini Fridge,Flickering,3/24/2025,1234,85,16,2015,2017
2058,Lamp,Working,6/7/2023,2411,741,3,2018,2020
2058,Hair Dryer,Working,3/22/2024,4547,452,10,2018,2020
2059,Mini Fridge,Working,2/9/2025,705,127,6,2023,2025
2059,Coffee Maker,Noisy,7/16/2024,3690,336,10,2019,2022
2059,Hair Dryer,Leaking,8/8/2024,4627,313,15,2015,2018
2059,Television,Working,9/16/2023,3258,639,5,2024,2026
2059,Air Conditioner,Working,4/19/2023,561,789,1,2020,2022
2059,Lamp,Not Working,6/9/2023,1409,739,3,2020,2025
