Room Number,Appliance Type,Issue Reported,Last Maintenance Date,Usage Hours,Days Since Maintenance,Average_Daily_Usage,Device_Year,Warranty Year
2005,Heater,Low performance,7/6/2024,2029,345,6,2022,2025
2113,Mini Fridge,Not working,5/18/2025,4029,29,23,2017,2022
2108,Coffee Maker,Noisy,1/3/2024,2090,530,4,2020,2023
2003,Air Conditioner,Not working,4/27/2024,1735,416,4,2022,2027
2003,Mini Fridge,Leaking,12/12/2024,1708,186,8,2015,2017
2069,Hair Dryer,Unresponsive,4/30/2023,675,778,1,2024,2026
2112,Lamp,Not working,7/24/2023,3187,694,5,2024,2026
2084,Lamp,Overheating,1/5/2024,2768,529,6,2022,2024
2096,Coffee Maker,Leaking,2/8/2023,4524,860,5,2016,2019
2106,Lamp,Unresponsive,4/27/2025,3728,50,24,2016,2018
2067,Hair Dryer,Unresponsive,12/28/2023,1572,537,4,2018,2020
2020,Heater,Flickering,5/4/2024,3204,409,7,2018,2021
2088,Air Conditioner,Not working,10/2/2024,697,258,3,2018,2023
2106,Heater,Not working,1/30/2024,2274,504,4,2016,2019
2044,Coffee Maker,Unresponsive,2/28/2025,1014,108,12,2016,2019
2107,Television,Flickering,2/5/2023,4902,863,5,2017,2021
2037,Lamp,Unresponsive,7/26/2024,13374,325,24,2016,2018
2130,Coffee Maker,Flickering,5/9/2023,3124,770,4,2018,2021
2103,Mini Fridge,Noisy,12/14/2024,2742,185,16,2023,2028
2100,Mini Fridge,Leaking,4/28/2024,2486,415,6,2018,2021
2114,Mini Fridge,Low performance,2/27/2025,2831,109,23,2019,2022
2022,Hair Dryer,Not working,1/27/2024,3243,506,6,2015,2017
2047,Mini Fridge,Leaking,11/16/2023,1063,579,2,2019,2024
2120,Coffee Maker,Not working,3/31/2023,1702,808,2,2019,2022
2130,Coffee Maker,Unresponsive,4/19/2025,4606,59,24,2014,2017
2072,Lamp,Low performance,6/8/2024,3303,373,8,2022,2024
2043,Coffee Maker,Overheating,2/4/2024,1506,498,2,2016,2019
2043,Heater,Noisy,7/28/2023,2134,689,3,2019,2022
2037,Heater,Flickering,1/12/2024,1842,522,4,2022,2025
2106,Coffee Maker,Leaking,4/24/2024,3872,418,9,2017,2020
2047,Mini Fridge,Leaking,3/3/2023,3583,836,4,2022,2027
2130,Air Conditioner,Not working,5/20/2025,913,27,24,2014,2019
2043,Hair Dryer,Low performance,5/30/2025,792,17,24,2017,2019
2022,Coffee Maker,Flickering,10/28/2024,738,232,3,2020,2023
2135,Television,Low performance,6/25/2024,2042,357,5,2018,2022
2117,Television,Low performance,5/3/2023,4002,775,5,2024,2028
2089,Lamp,Overheating,5/5/2025,2740,42,24,2023,2025
2107,Hair Dryer,Noisy,9/11/2023,3184,644,5,2024,2026
2034,Heater,Noisy,8/31/2023,5014,655,8,2021,2024
2045,Mini Fridge,Low performance,7/10/2024,663,342,2,2023,2027
2135,Air Conditioner,Low performance,11/24/2023,2229,571,4,2014,2019
2127,Coffee Maker,Overheating,4/25/2024,2783,417,7,2021,2024
2060,Lamp,Unresponsive,9/7/2024,3009,282,12,2023,2025
2004,Lamp,Flickering,9/11/2024,3179,278,11,2019,2021
2055,Lamp,Leaking,1/15/2023,4937,883,6,2014,2016
2018,Lamp,Flickering,9/4/2024,3917,285,15,2014,2016
2065,Mini Fridge,Noisy,10/13/2023,3495,612,6,2024,2029
2134,Heater,Noisy,8/22/2024,2806,299,10,2018,2021
2010,Coffee Maker,Unresponsive,2/9/2023,1312,858,2,2018,2021
2028,Coffee Maker,Flickering,1/4/2023,906,894,2,2023,2026
2003,Mini Fridge,Low performance,4/8/2023,3037,800,4,2018,2021
2108,Heater,Overheating,2/24/2025,618,112,4,2022,2025
2032,Hair Dryer,Flickering,9/28/2024,1521,262,6,2016,2018
2075,Lamp,Not working,7/20/2024,813,332,3,2018,2020
2143,Television,Low performance,2/21/2025,951,115,8,2023,2027
2083,Hair Dryer,Flickering,11/21/2023,1096,574,2,2015,2017
2125,Mini Fridge,Flickering,10/26/2024,1064,233,5,2019,2024
2035,Lamp,Flickering,7/2/2023,2273,716,3,2022,2024
2150,Hair Dryer,Low performance,9/24/2024,3427,266,14,2021,2023
2070,Air Conditioner,Not working,12/18/2023,1305,547,3,2024,2029
2018,Hair Dryer,Unresponsive,4/9/2023,2132,799,2,2022,2024
2012,Television,Low performance,9/3/2023,4880,652,7,2017,2021
2143,Air Conditioner,Unresponsive,4/1/2025,1668,76,24,2020,2025
2009,Mini Fridge,Leaking,4/12/2023,1564,796,2,2020,2022
2125,Mini Fridge,Low performance,1/5/2023,903,894,1,2022,2026
2066,Television,Overheating,11/26/2023,1464,569,2,2017,2021
2092,Hair Dryer,Noisy,11/6/2023,2144,589,3,2020,2022
2000,Mini Fridge,Low performance,6/5/2023,2647,743,3,2022,2025
2043,Air Conditioner,Not working,10/14/2024,2029,245,9,2018,2023
2030,Coffee Maker,Leaking,9/21/2024,977,269,3,2019,2022
2062,Television,Low performance,11/5/2024,2958,223,15,2019,2023
2133,Hair Dryer,Overheating,10/10/2024,2606,249,10,2018,2020
2103,Air Conditioner,Leaking,4/9/2024,3255,434,8,2014,2019
2138,Television,Flickering,3/26/2024,2918,448,7,2021,2025
2083,Mini Fridge,Not working,7/4/2024,1940,348,6,2023,2027
2022,Heater,Noisy,11/7/2024,2748,221,13,2024,2027
2065,Mini Fridge,Unresponsive,2/23/2025,2851,114,23,2024,2029
2044,Hair Dryer,Flickering,6/19/2024,937,362,2,2020,2022
2119,Heater,Noisy,4/11/2025,2501,67,23,2014,2017
2128,Hair Dryer,Leaking,1/4/2025,3947,163,23,2023,2025
2099,Television,Overheating,9/12/2023,3479,644,5,2021,2025
2089,Mini Fridge,Leaking,7/9/2024,2912,342,9,2020,2024
2123,Television,Overheating,11/4/2024,2700,225,12,2019,2023
2046,Coffee Maker,Noisy,10/7/2024,4698,253,17,2022,2025
2076,Television,Noisy,1/23/2024,3196,511,6,2017,2021
2022,Coffee Maker,Noisy,12/31/2024,3841,167,24,2024,2027
2097,Hair Dryer,Not working,3/6/2024,2053,468,5,2014,2016
2073,Television,Low performance,3/4/2024,1120,470,2,2019,2023
2129,Television,Low performance,2/27/2025,4445,110,24,2017,2021
2018,Hair Dryer,Overheating,12/26/2024,633,172,3,2018,2020
2127,Mini Fridge,Low performance,2/8/2025,1418,128,11,2018,2023
2050,Air Conditioner,Leaking,1/24/2025,3843,143,24,2017,2022
2034,Coffee Maker,Not working,7/16/2023,1076,702,1,2023,2026
2121,Television,Flickering,1/20/2025,479,147,3,2023,2027
2060,Hair Dryer,Noisy,11/5/2023,4971,590,8,2019,2021
2105,Television,Low performance,1/19/2023,3308,879,3,2022,2026
2027,Air Conditioner,Unresponsive,4/21/2024,3514,422,8,2017,2022
2016,Air Conditioner,Overheating,5/14/2024,2549,399,7,2024,2029
2049,Mini Fridge,Low performance,2/4/2024,3185,499,6,2017,2020
2045,Lamp,Noisy,10/3/2024,4718,256,20,2017,2019
2040,Television,Noisy,10/30/2023,3302,596,5,2023,2027
2007,Lamp,Overheating,4/11/2023,2614,797,3,2021,2023
2142,Coffee Maker,Low performance,5/19/2023,1925,759,3,2017,2020
2062,Heater,Low performance,2/12/2025,3253,124,24,2016,2019
2002,Mini Fridge,Low performance,7/3/2024,1340,349,4,2018,2021
2031,Television,Unresponsive,5/30/2024,1975,383,5,2016,2020
2009,Heater,Low performance,12/27/2024,3972,171,23,2017,2020
2085,Air Conditioner,Overheating,2/24/2024,4159,478,8,2020,2025
2107,Heater,Unresponsive,3/3/2025,1189,105,12,2021,2024
2093,Lamp,Low performance,4/22/2024,1552,420,4,2016,2018
2142,Mini Fridge,Noisy,3/28/2024,1409,446,3,2024,2027
2024,Air Conditioner,Flickering,3/13/2024,857,460,1,2018,2023
2021,Air Conditioner,Noisy,5/10/2025,2015,38,24,2014,2019
2131,Mini Fridge,Unresponsive,3/26/2025,891,83,7,2015,2018
2061,Television,Low performance,3/26/2023,2885,813,4,2017,2021
2105,Heater,Low performance,7/5/2024,2575,346,7,2021,2024
2146,Coffee Maker,Low performance,5/29/2023,3951,750,5,2021,2024
2083,Lamp,Leaking,5/8/2023,960,770,1,2021,2023
2059,Heater,Leaking,5/3/2023,1750,776,3,2017,2020
2069,Coffee Maker,Low performance,4/26/2023,3573,782,5,2017,2020
2089,Mini Fridge,Noisy,8/13/2024,1018,307,3,2022,2025
2062,Heater,Flickering,2/26/2023,4843,841,5,2019,2022
2124,Hair Dryer,Not working,8/12/2023,2093,675,3,2024,2026
2144,Television,Low performance,8/5/2024,1710,315,5,2016,2020
2119,Coffee Maker,Leaking,1/23/2023,2073,875,3,2022,2025
2104,Coffee Maker,Overheating,6/21/2024,2851,360,8,2021,2024
2136,Lamp,Low performance,1/2/2023,4585,897,4,2024,2026
2010,Mini Fridge,Flickering,10/30/2023,817,595,1,2018,2022
2129,Coffee Maker,Leaking,6/29/2023,379,718,1,2016,2019
2143,Mini Fridge,Flickering,10/5/2023,1210,620,2,2018,2023
2021,Mini Fridge,Leaking,6/19/2024,1397,362,4,2023,2026
2119,Air Conditioner,Noisy,6/6/2024,2407,376,6,2021,2026
2101,Coffee Maker,Noisy,2/23/2025,1715,114,14,2023,2026
2063,Hair Dryer,Not working,6/24/2023,2009,723,3,2017,2019
2011,Mini Fridge,Overheating,4/23/2023,717,786,1,2015,2019
2137,Lamp,Noisy,6/7/2023,3311,740,4,2024,2026
2016,Air Conditioner,Flickering,2/28/2025,2666,109,23,2021,2026
2087,Television,Noisy,4/4/2025,3252,73,24,2019,2023
2060,Air Conditioner,Leaking,2/13/2023,3035,855,4,2017,2022
2083,Television,Overheating,5/17/2023,841,761,2,2024,2028
2058,Coffee Maker,Overheating,9/10/2024,4177,280,16,2018,2021
2136,Air Conditioner,Unresponsive,11/8/2023,4944,587,8,2016,2021
2089,Lamp,Noisy,4/21/2024,4369,421,11,2021,2023
2033,Hair Dryer,Unresponsive,11/8/2024,4670,220,24,2014,2016
2083,Lamp,Unresponsive,8/10/2023,2059,676,3,2021,2023
2029,Television,Leaking,5/1/2024,1950,411,4,2017,2021
2027,Heater,Leaking,3/9/2023,2799,831,3,2014,2017
2005,Television,Flickering,8/17/2023,1012,670,1,2018,2022
2017,Hair Dryer,Noisy,11/10/2024,3685,218,15,2016,2018
2031,Television,Not working,8/18/2024,2117,303,8,2022,2026
2102,Air Conditioner,Leaking,3/23/2023,2843,817,3,2023,2028
2043,Hair Dryer,Low performance,3/14/2024,1939,459,4,2019,2021
2082,Hair Dryer,Leaking,12/2/2024,1581,196,7,2024,2026
2027,Heater,Low performance,9/11/2024,1956,278,7,2018,2021
2128,Mini Fridge,Flickering,6/3/2025,2639,13,24,2014,2018
2098,Coffee Maker,Flickering,3/13/2025,3292,95,23,2014,2017
2025,Coffee Maker,Overheating,4/1/2023,2918,808,3,2017,2020
2054,Television,Noisy,7/11/2024,2747,340,8,2019,2023
2138,Air Conditioner,Leaking,3/16/2025,4110,92,24,2022,2027
2006,Television,Overheating,6/5/2023,2069,743,3,2019,2023
2137,Coffee Maker,Overheating,11/8/2023,1755,587,3,2023,2026
2090,Television,Noisy,11/20/2024,991,208,6,2015,2019
2010,Lamp,Unresponsive,1/30/2024,4139,504,8,2014,2016
2105,Coffee Maker,Overheating,4/23/2025,3515,54,24,2015,2018
2095,Air Conditioner,Leaking,10/24/2023,1684,602,3,2024,2029
2045,Hair Dryer,Not working,9/17/2023,3887,638,5,2017,2019
2109,Mini Fridge,Leaking,10/26/2023,2782,599,5,2015,2018
2117,Hair Dryer,Noisy,8/28/2024,4941,293,17,2014,2016
2091,Television,Leaking,12/5/2023,2186,560,4,2015,2019
2029,Lamp,Low performance,1/23/2024,636,510,2,2018,2020
2051,Mini Fridge,Not working,12/23/2023,1627,542,2,2016,2021
2038,Coffee Maker,Not working,8/27/2024,2993,293,10,2015,2018
2015,Coffee Maker,Overheating,5/8/2024,1699,405,4,2017,2020
2077,Mini Fridge,Leaking,6/28/2023,1343,719,2,2021,2023
2148,Air Conditioner,Leaking,3/1/2025,797,107,9,2023,2028
2057,Heater,Not working,11/16/2023,1616,578,3,2022,2025
2032,Lamp,Overheating,4/2/2025,2027,76,24,2014,2016
2049,Air Conditioner,Noisy,5/4/2024,4083,409,10,2021,2026
2114,Television,Flickering,12/5/2024,4844,193,24,2016,2020
2110,Hair Dryer,Not working,5/14/2023,685,764,1,2023,2025
2131,Coffee Maker,Unresponsive,8/30/2023,1146,657,2,2021,2024
2022,Heater,Overheating,3/12/2025,863,97,11,2018,2021
2142,Lamp,Low performance,3/4/2025,379,105,6,2018,2020
2038,Hair Dryer,Unresponsive,1/26/2025,1909,141,11,2024,2026
2131,Heater,Overheating,2/28/2025,862,109,8,2020,2023
2083,Mini Fridge,Overheating,5/27/2024,3387,385,10,2020,2025
2063,Lamp,Leaking,2/4/2023,1398,864,2,2014,2016
2073,Air Conditioner,Low performance,2/4/2025,2127,132,18,2023,2028
2095,Heater,Unresponsive,4/22/2025,2787,56,24,2014,2017
2146,Lamp,Unresponsive,6/26/2023,2874,722,4,2018,2020
2094,Television,Unresponsive,8/31/2023,4771,656,7,2018,2022
2116,Coffee Maker,Not working,10/16/2023,4479,609,8,2024,2027
2076,Television,Leaking,3/13/2023,1476,826,2,2014,2018
2001,Air Conditioner,Flickering,8/3/2023,2708,683,4,2020,2025
2106,Lamp,Overheating,7/12/2024,1157,339,3,2018,2020
2081,Mini Fridge,Flickering,9/24/2024,2993,265,11,2021,2026
2025,Heater,Not working,1/15/2023,3590,884,4,2019,2022
2059,Heater,Not working,4/12/2025,2792,66,24,2021,2024
2058,Air Conditioner,Noisy,2/7/2023,1011,860,1,2014,2019
2094,Air Conditioner,Unresponsive,4/29/2024,3887,414,9,2019,2024
2071,Television,Not working,1/7/2024,693,527,1,2022,2026
2139,Mini Fridge,Leaking,8/13/2024,4562,307,15,2017,2019
2126,Air Conditioner,Not working,1/28/2023,4792,871,5,2019,2024
2068,Hair Dryer,Unresponsive,1/27/2025,660,141,6,2019,2021
2015,Air Conditioner,Flickering,4/20/2024,637,423,2,2023,2028
2102,Air Conditioner,Low performance,1/31/2023,1402,868,2,2020,2025
2064,Lamp,Flickering,7/8/2024,1310,343,4,2015,2017
2006,Mini Fridge,Overheating,8/30/2023,2334,657,4,2017,2021
2118,Heater,Overheating,3/3/2025,4131,105,23,2017,2020
2050,Lamp,Noisy,3/18/2025,4522,91,23,2017,2019
2023,Lamp,Not working,1/22/2025,3658,146,24,2015,2017
2128,Coffee Maker,Overheating,8/22/2024,543,298,1,2018,2021
2148,Lamp,Not working,1/2/2023,965,897,1,2015,2017
2140,Air Conditioner,Low performance,6/11/2024,2852,371,7,2018,2023
2138,Coffee Maker,Flickering,11/22/2023,866,573,1,2020,2023
2076,Lamp,Not working,5/17/2024,1166,395,3,2018,2020
2028,Coffee Maker,Not working,12/27/2024,1228,172,7,2016,2019
2081,Television,Noisy,11/2/2023,2760,593,4,2014,2018
2057,Heater,Leaking,2/3/2024,952,499,2,2015,2018
2117,Hair Dryer,Not working,10/10/2024,4741,250,18,2020,2022
2069,Hair Dryer,Leaking,12/21/2023,1928,543,4,2015,2017
2038,Lamp,Noisy,3/14/2025,4341,94,24,2024,2026
2028,Mini Fridge,Flickering,4/13/2023,1944,796,2,2022,2027
